count_id,count_date,product_id,counted_quantity
IC000130,2026-07-16,P010,26
IC000131,2026-07-16,P011,11
IC000132,2026-07-16,P012,35
IC000133,2026-07-16,P013,27
IC000134,2026-07-16,P014,39
IC000135,2026-07-16,P015,15
IC000136,2026-07-16,P016,51
IC000137,2026-07-16,P017,33
IC000138,2026-07-16,P018,57
IC000139,2026-07-16,P019,37
IC000140,2026-07-16,P020,46
IC000141,2026-07-16,P021,31
IC000142,2026-07-16,P022,10
IC000143,2026-07-16,P023,32
IC000144,2026-07-16,P024,48
IC000145,2026-07-16,P025,43
IC000146,2026-07-16,P026,18
IC000147,2026-07-16,P027,29
IC000148,2026-07-16,P028,16
IC000149,2026-07-16,P029,51
IC000150,2026-07-16,P030,32
IC000151,2026-07-16,P031,19
IC000152,2026-07-16,P032,35
IC000153,2026-07-16,P033,24
IC000154,2026-07-16,P034,32
IC000155,2026-07-16,P035,44
IC000156,2026-07-16,P036,22
IC000157,2026-07-16,P037,31
IC000158,2026-07-16,P038,37
IC000159,2026-07-16,P039,44
IC000160,2026-07-16,P040,46
IC000161,2026-07-31,P001,7
IC000162,2026-07-31,P002,42
IC000163,2026-07-31,P003,27
IC000164,2026-07-31,P004,22
IC000165,2026-07-31,P005,51
IC000166,2026-07-31,P006,14
IC000167,2026-07-31,P007,34
IC000168,2026-07-31,P008,18
IC000169,2026-07-31,P009,14
IC000170,2026-07-31,P010,52
IC000171,2026-07-31,P011,27
IC000172,2026-07-31,P012,29
IC000173,2026-07-31,P013,54
IC000174,2026-07-31,P014,40
IC000175,2026-07-31,P015,22
IC000176,2026-07-31,P016,43
IC000177,2026-07-31,P017,42
IC000178,2026-07-31,P018,29
IC000179,2026-07-31,P019,33
IC000180,2026-07-31,P020,54
IC000181,2026-07-31,P021,48
IC000182,2026-07-31,P022,42
IC000183,2026-07-31,P023,24
IC000184,2026-07-31,P024,10
IC000185,2026-07-31,P025,29
IC000186,2026-07-31,P026,34
IC000187,2026-07-31,P027,28
IC000188,2026-07-31,P028,33
IC000189,2026-07-31,P029,46
IC000190,2026-07-31,P030,23
IC000191,2026-07-31,P031,58
IC000192,2026-07-31,P032,51
IC000193,2026-07-31,P033,41
IC000194,2026-07-31,P034,45
IC000195,2026-07-31,P035,36
IC000196,2026-07-31,P036,30
IC000197,2026-07-31,P037,44
IC000198,2026-07-31,P038,41
IC000199,2026-07-31,P039,19
IC000200,2026-07-31,P040,35
IC000201,2026-08-15,P001,50
IC000202,2026-08-15,P002,41
IC000203,2026-08-15,P003,32
IC000204,2026-08-15,P004,20
IC000205,2026-08-15,P005,18
IC000206,2026-08-15,P006,36
IC000207,2026-08-15,P007,23
IC000208,2026-08-15,P008,10
IC000209,2026-08-15,P009,57
IC000210,2026-08-15,P010,52
IC000211,2026-08-15,P011,33
IC000212,2026-08-15,P012,56
IC000213,2026-08-15,P013,51
IC000214,2026-08-15,P014,13
IC000215,2026-08-15,P015,27
IC000216,2026-08-15,P016,41
IC000217,2026-08-15,P017,18
IC000218,2026-08-15,P018,29
IC000219,2026-08-15,P019,51
IC000220,2026-08-15,P020,15
IC000221,2026-08-15,P021,51
IC000222,2026-08-15,P022,9
IC000223,2026-08-15,P023,39
IC000224,2026-08-15,P024,22
IC000225,2026-08-15,P025,44
IC000226,2026-08-15,P026,45
IC000227,2026-08-15,P027,12
IC000228,2026-08-15,P028,18
IC000229,2026-08-15,P029,30
IC000230,2026-08-15,P030,23
IC000231,2026-08-15,P031,53
IC000232,2026-08-15,P032,51
IC000233,2026-08-15,P033,35
IC000234,2026-08-15,P034,44
IC000235,2026-08-15,P035,51
IC000236,2026-08-15,P036,55
IC000237,2026-08-15,P037,9
IC000238,2026-08-15,P038,31
IC000239,2026-08-15,P039,38
IC000240,2026-08-15,P040,50
