sale_line_id,transaction_id,sale_datetime,product_id,quantity,unit_selling_price,unit_cost,discount_mmk,payment_method
SL0000031,T000021,2026-06-01 13:34:00,P011,2,5600.0,4100,0,WavePay
SL0000032,T000021,2026-06-01 13:34:00,P003,1,7250.0,5200,0,Cash
SL0000033,T000022,2026-06-01 19:20:00,P034,1,6900.0,5900,0,Cash
SL0000034,T000023,2026-06-01 16:32:00,P020,1,9600.0,7050,0,Cash
SL0000035,T000024,2026-06-01 12:46:00,P001,1,,7950,0,KBZPay
SL0000036,T000025,2026-06-01 15:01:00,P020,1,9600.0,7050,0,Cash
SL0000037,T000026,2026-06-01 17:41:00,P022,2,8800.0,7450,0,Cash
SL0000038,T000027,2026-06-01 13:57:00,P003,4,7250.0,5200,0,Cash
SL0000039,T000028,2026-06-01 12:30:00,P024,1,5650.0,4800,0,Cash
SL0000040,T000029,2026-06-02 17:43:00,P038,1,4500.0,3300,0,Cash
SL0000041,T000030,2026-06-02 12:02:00,P026,1,8650.0,7250,0,Cash
SL0000042,T000031,2026-06-02 09:54:00,P029,1,9250.0,7400,0,Cash
SL0000043,T000032,2026-06-02 07:20:00,P007,1,2750.0,2400,0,Cash
SL0000044,T000033,2026-06-02 17:55:00,P017,2,8050.0,6850,0,WavePay
SL0000045,T000033,2026-06-02 17:55:00,P024,2,5650.0,4800,0,Cash
SL0000046,T000034,2026-06-02 11:59:00,P008,1,1450.0,1200,0,KBZPay
SL0000047,T000034,2026-06-02 11:59:00,P018,1,11000.0,7950,0,KBZPay
SL0000048,T000035,2026-06-02 19:28:00,P033,1,550.0,450,0,Cash
SL0000049,T000036,2026-06-02 19:56:00,P033,1,550.0,450,0,Cash
SL0000050,T000037,2026-06-02 15:02:00,P014,1,10450.0,8900,0,Cash
SL0000051,T000038,2026-06-02 11:23:00,P012,1,9800.0,8800,500,KBZPay
SL0000052,T000039,2026-06-02 13:15:00,P024,1,5650.0,4800,0,WavePay
SL0000053,T000040,2026-06-02 10:43:00,P011,1,5600.0,4100,0,Cash
SL0000054,T000041,2026-06-02 14:50:00,P024,3,5650.0,4800,0,WavePay
SL0000055,T000041,2026-06-02 14:50:00,P008,2,1450.0,1200,0,Cash
SL0000056,T000042,2026-06-02 17:17:00,P034,1,6900.0,5900,0,Cash
SL0000057,T000042,2026-06-02 17:17:00,P024,1,5650.0,4800,0,Cash
SL0000058,T000042,2026-06-02 17:17:00,P020,1,9600.0,7050,0,Cash
SL0000059,T000043,2026-06-02 13:02:00,P006,1,6750.0,4750,0,Cash
SL0000060,T000043,2026-06-02 13:02:00,P008,1,1450.0,1200,0,Cash
SL0000061,T000043,2026-06-02 13:02:00,P026,1,8650.0,7250,0,Cash
SL0000062,T000044,2026-06-02 12:00:00,P020,1,9600.0,7050,0,Cash
SL0000063,T000045,2026-06-02 12:33:00,P028,1,950.0,750,0,KBZPay
SL0000064,T000045,2026-06-02 12:33:00,P010,1,7200.0,5600,0,KBZPay
SL0000065,T000045,2026-06-02 12:33:00,P015,1,1050.0,750,0,WavePay
SL0000066,T000046,2026-06-02 09:05:00,P026,1,8650.0,7250,450,Cash
SL0000067,T000047,2026-06-02 14:50:00,P010,1,7200.0,5600,0,Cash
SL0000068,T000047,2026-06-02 14:50:00,P039,1,9350.0,7550,0,Cash
SL0000069,T000048,2026-06-02 12:16:00,P038,1,4500.0,3300,0,Cash
SL0000070,T000049,2026-06-02 12:08:00,P018,1,11000.0,7950,0,Cash
SL0000071,T000049,2026-06-02 12:08:00,P014,2,10450.0,8900,0,KBZPay
SL0000072,T000049,2026-06-02 12:08:00,P028,1,950.0,750,50,Cash
SL0000073,T000050,2026-06-02 17:17:00,P035,1,10250.0,8150,500,KBZPay
SL0000074,T000051,2026-06-02 12:30:00,P037,3,4650.0,3300,0,Cash
SL0000075,T000051,2026-06-02 12:30:00,P015,1,1050.0,750,0,Cash
SL0000076,T000052,2026-06-02 19:55:00,P033,1,550.0,450,0,WavePay
SL0000077,T000052,2026-06-02 19:55:00,P014,1,10450.0,8900,0,Cash
SL0000078,T000053,2026-06-02 16:03:00,P007,2,2750.0,2400,0,Cash
SL0000079,T000054,2026-06-02 17:30:00,P024,2,5650.0,4800,550,Cash
SL0000080,T000055,2026-06-02 18:37:00,P039,1,9350.0,7550,0,Cash
SL0000081,T000055,2026-06-02 18:37:00,P012,1,9800.0,8800,0,Cash
SL0000082,T000056,2026-06-02 10:50:00,P038,3,4500.0,3300,0,WavePay
SL0000083,T000056,2026-06-02 10:50:00,P014,1,10450.0,8900,0,WavePay
SL0000084,T000057,2026-06-02 09:04:00,P004,4,2300.0,1700,0,Cash
SL0000085,T000058,2026-06-02 13:32:00,P037,1,4650.0,3300,0,WavePay
SL0000086,T000059,2026-06-02 16:09:00,P021,1,10450.0,8200,0,WavePay
SL0000087,T000059,2026-06-02 16:09:00,P005,2,8700.0,6300,850,KBZPay
SL0000088,T000060,2026-06-02 15:30:00,P005,1,8700.0,6300,0,Cash
SL0000089,T000061,2026-06-02 18:16:00,P034,2,6900.0,5900,0,Cash
SL0000090,T000061,2026-06-02 18:16:00,P038,2,4500.0,3300,0,Cash
SL0000091,T000062,2026-06-02 18:10:00,P018,1,11000.0,7950,0,Cash
SL0000092,T000063,2026-06-03 15:29:00,P015,1,1050.0,750,0,Cash
SL0000093,T000063,2026-06-03 15:29:00,P004,2,2300.0,1700,0,WavePay
SL0000094,T000064,2026-06-03 11:31:00,P003,1,7250.0,5200,0,KBZPay
SL0000095,T000065,2026-06-03 08:23:00,P039,1,9350.0,7550,0,Cash
SL0000096,T000066,2026-06-03 10:38:00,P002,1,9700.0,7950,0,KBZPay
SL0000097,T000067,2026-06-03 09:51:00,P033,2,550.0,450,0,KBZPay
SL0000098,T000067,2026-06-03 09:51:00,P004,1,2300.0,1700,0,Cash
SL0000099,T000068,2026-06-03 08:05:00,P021,1,10450.0,8200,0,Cash
SL0000100,T000069,2026-06-03 09:39:00,P005,1,8700.0,6300,0,Cash
SL0000101,T000069,2026-06-03 09:39:00,P027,1,600.0,500,0,Cash
SL0000102,T000069,2026-06-03 09:39:00,P037,1,4650.0,3300,0,Cash
SL0000103,T000070,2026-06-03 21:30:00,P025,2,2450.0,2150,0,KBZPay
SL0000104,T000070,2026-06-03 21:30:00,P031,1,6800.0,4750,0,WavePay
SL0000105,T000071,2026-06-03 12:54:00,P033,1,550.0,450,0,Cash
SL0000106,T000072,2026-06-03 14:19:00,P011,1,5600.0,4100,0,Cash
SL0000107,T000073,2026-06-03 12:16:00,P027,1,600.0,500,0,Cash
SL0000108,T000074,2026-06-03 16:51:00,P021,1,10450.0,8200,0,Cash
SL0000109,T000075,2026-06-03 14:40:00,P039,1,9350.0,7550,0,Cash
SL0000110,T000076,2026-06-03 08:56:00,P010,1,7200.0,5600,0,Cash
SL0000111,T000076,2026-06-03 08:56:00,P033,1,550.0,450,0,WavePay
SL0000112,T000077,2026-06-03 12:00:00,P039,1,9350.0,7550,0,KBZPay
SL0000113,T000078,2026-06-03 15:40:00,P039,2,9350.0,7550,0,Cash
SL0000114,T000078,2026-06-03 15:40:00,P038,2,4500.0,3300,0,Cash
SL0000115,T000078,2026-06-03 15:40:00,P026,1,8650.0,7250,450,WavePay
SL0000116,T000079,2026-06-03 21:20:00,P005,1,8700.0,6300,0,Cash
SL0000117,T000079,2026-06-03 21:20:00,P037,1,4650.0,3300,0,Cash
SL0000118,T000080,2026-06-03 13:02:00,P034,2,6900.0,5900,0,Cash
SL0000119,T000081,2026-06-03 18:04:00,P026,1,8650.0,7250,0,Cash
SL0000120,T000081,2026-06-03 18:04:00,P036,3,6250.0,4350,0,Cash
SL0000121,T000081,2026-06-03 18:04:00,P034,1,6900.0,5900,0,Cash
SL0000122,T000082,2026-06-03 21:11:00,P012,1,9800.0,8800,0,Cash
SL0000123,T000083,2026-06-03 16:27:00,P009,1,9500.0,7150,0,WavePay
SL0000124,T000084,2026-06-04 14:31:00,P027,1,600.0,500,0,Cash
SL0000125,T000085,2026-06-04 13:09:00,P024,3,5650.0,4800,0,Cash
SL0000126,T000085,2026-06-04 13:09:00,P003,1,7250.0,5200,0,Cash
SL0000127,T000086,2026-06-04 10:57:00,P014,2,10450.0,8900,0,Cash
SL0000128,T000086,2026-06-04 10:57:00,P039,1,9350.0,7550,0,Cash
SL0000129,T000087,2026-06-04 13:53:00,P018,1,11000.0,7950,0,Cash
SL0000130,T000088,2026-06-04 09:20:00,P022,1,8800.0,7450,0,Cash
SL0000131,T000088,2026-06-04 09:20:00,P037,1,4650.0,3300,0,KBZPay
SL0000132,T000089,2026-06-04 14:24:00,P021,2,10450.0,8200,0,Cash
SL0000133,T000089,2026-06-04 14:24:00,P032,1,10850.0,8500,0,Cash
SL0000134,T000090,2026-06-04 10:54:00,P015,1,1050.0,750,0,Cash
SL0000135,T000090,2026-06-04 10:54:00,P014,1,10450.0,8900,0,Cash
SL0000136,T000091,2026-06-04 13:45:00,P024,1,5650.0,4800,0,Cash
SL0000137,T000091,2026-06-04 13:45:00,P030,1,9850.0,8500,0,Cash
SL0000138,T000092,2026-06-04 13:37:00,P038,1,4500.0,3300,0,Cash
SL0000139,T000092,2026-06-04 13:37:00,P015,2,1050.0,750,0,Cash
SL0000140,T000093,2026-06-04 12:47:00,P020,1,9600.0,7050,0,Cash
SL0000141,T000094,2026-06-04 17:57:00,P020,1,9600.0,7050,0,WavePay
SL0000142,T000095,2026-06-04 14:17:00,P015,2,1050.0,750,0,Cash
SL0000143,T000096,2026-06-04 10:34:00,P023,1,7800.0,6250,400,WavePay
SL0000144,T000097,2026-06-04 17:52:00,P035,1,10250.0,8150,0,Cash
SL0000145,T000098,2026-06-04 10:05:00,P035,1,10250.0,8150,0,Cash
SL0000146,T000098,2026-06-04 10:05:00,P038,1,4500.0,3300,0,Cash
SL0000147,T000099,2026-06-04 11:58:00,P012,1,9800.0,8800,0,KBZPay
SL0000148,T000100,2026-06-04 16:17:00,P032,3,10850.0,8500,0,Cash
SL0000149,T000100,2026-06-04 16:17:00,P012,2,9800.0,8800,0,WavePay
SL0000150,T000101,2026-06-04 10:09:00,P024,4,5650.0,4800,0,Cash
SL0000151,T000102,2026-06-04 07:39:00,P023,1,7800.0,6250,0,KBZPay
SL0000152,T000102,2026-06-04 07:39:00,P024,1,5650.0,4800,0,Cash
SL0000153,T000103,2026-06-04 12:09:00,P033,1,550.0,450,0,KBZPay
SL0000154,T000104,2026-06-04 09:21:00,P014,1,10450.0,8900,0,Cash
SL0000155,T000104,2026-06-04 09:21:00,P034,2,6900.0,5900,0,Cash
SL0000156,T000105,2026-06-04 12:43:00,P013,2,8950.0,6450,0,WavePay
SL0000157,T000106,2026-06-04 16:22:00,P024,2,5650.0,4800,0,KBZPay
SL0000158,T000107,2026-06-04 10:25:00,P025,1,2450.0,2150,0,Cash
SL0000159,T000108,2026-06-04 20:24:00,P030,2,9850.0,8500,1000,Cash
SL0000160,T000109,2026-06-04 11:52:00,P030,1,9850.0,8500,0,Cash
SL0000161,T000110,2026-06-04 07:08:00,P028,1,950.0,750,0,Cash
SL0000162,T000111,2026-06-04 21:38:00,P021,3,10450.0,8200,0,WavePay
SL0000163,T000112,2026-06-04 16:35:00,P015,1,1050.0,750,0,Cash
SL0000164,T000113,2026-06-04 10:19:00,P009,1,9500.0,7150,0,Cash
SL0000165,T000113,2026-06-04 10:19:00,P006,1,6750.0,4750,0,Cash
SL0000166,T000114,2026-06-05 10:43:00,P012,1,9800.0,8800,0,WavePay
SL0000167,T000115,2026-06-05 11:22:00,P005,1,8700.0,6300,0,Cash
SL0000168,T000116,2026-06-05 13:28:00,P037,1,4650.0,3300,0,Cash
SL0000169,T000117,2026-06-05 13:12:00,P006,1,6750.0,4750,0,Cash
SL0000170,T000117,2026-06-05 13:12:00,P020,1,9600.0,7050,0,Cash
SL0000171,T000117,2026-06-05 13:12:00,P026,1,8650.0,7250,0,Cash
SL0000172,T000118,2026-06-05 21:10:00,P034,1,6900.0,5900,0,Cash
SL0000173,T000118,2026-06-05 21:10:00,P007,1,2750.0,2400,0,Cash
SL0000174,T000118,2026-06-05 21:10:00,P015,1,1050.0,750,50,Cash
SL0000175,T000119,2026-06-05 16:20:00,P008,1,1450.0,1200,0,Cash
SL0000176,T000119,2026-06-05 16:20:00,P012,1,9800.0,8800,500,Cash
SL0000177,T000119,2026-06-05 16:20:00,P015,3,1050.0,750,0,KBZPay
SL0000178,T000120,2026-06-05 09:48:00,P038,1,4500.0,3300,0,Cash
SL0000179,T000120,2026-06-05 09:48:00,P016,1,10700.0,8500,0,Cash
SL0000180,T000121,2026-06-05 11:16:00,P006,2,6750.0,4750,0,KBZPay
SL0000181,T000121,2026-06-05 11:16:00,P030,1,9850.0,8500,0,Cash
SL0000182,T000122,2026-06-05 13:13:00,P012,1,9800.0,8800,0,Cash
SL0000183,T000122,2026-06-05 13:13:00,P039,2,9350.0,7550,0,Cash
SL0000184,T000122,2026-06-05 13:13:00,P038,1,4500.0,3300,0,Cash
SL0000185,T000123,2026-06-05 13:55:00,P039,1,9350.0,7550,0,WavePay
SL0000186,T000124,2026-06-05 17:59:00,P010,1,7200.0,5600,0,Cash
SL0000187,T000124,2026-06-05 17:59:00,P012,1,9800.0,8800,0,KBZPay
SL0000188,T000125,2026-06-05 17:56:00,P024,1,5650.0,4800,0,KBZPay
SL0000189,T000125,2026-06-05 17:56:00,P029,2,9250.0,7400,0,Cash
SL0000190,T000125,2026-06-05 17:56:00,P005,1,8700.0,6300,0,KBZPay
SL0000191,T000126,2026-06-05 16:33:00,P018,1,11000.0,7950,0,Cash
SL0000192,T000127,2026-06-05 07:31:00,P021,1,10450.0,8200,0,Cash
SL0000193,T000128,2026-06-05 21:08:00,P002,1,9700.0,7950,0,KBZPay
SL0000194,T000128,2026-06-05 21:08:00,P008,1,1450.0,1200,50,KBZPay
SL0000195,T000129,2026-06-05 14:11:00,P009,2,9500.0,7150,0,KBZPay
SL0000196,T000130,2026-06-05 20:57:00,P021,1,10450.0,8200,0,Cash
SL0000197,T000131,2026-06-05 11:24:00,P033,4,550.0,450,0,Cash
SL0000198,T000132,2026-06-05 14:45:00,P009,1,9500.0,7150,0,Cash
SL0000199,T000132,2026-06-05 14:45:00,P016,1,10700.0,8500,0,Cash
SL0000200,T000133,2026-06-05 18:33:00,P005,1,8700.0,6300,0,Cash
SL0000201,T000134,2026-06-05 14:08:00,P014,2,10450.0,8900,0,Cash
SL0000202,T000134,2026-06-05 14:08:00,P025,2,2450.0,2150,0,KBZPay
SL0000203,T000135,2026-06-05 09:16:00,P019,1,3050.0,2500,0,Cash
SL0000204,T000136,2026-06-05 14:45:00,P027,1,600.0,500,0,KBZPay
SL0000205,T000136,2026-06-05 14:45:00,P038,1,4500.0,3300,0,KBZPay
SL0000206,T000137,2026-06-05 12:39:00,P024,1,5650.0,4800,0,Cash
SL0000207,T000138,2026-06-05 12:42:00,P007,1,2750.0,2400,0,Cash
SL0000208,T000138,2026-06-05 12:42:00,P003,3,7250.0,5200,0,KBZPay
SL0000209,T000139,2026-06-05 18:17:00,P005,1,8700.0,6300,0,Cash
SL0000210,T000139,2026-06-05 18:17:00,P030,2,9850.0,8500,0,WavePay
SL0000211,T000140,2026-06-05 09:32:00,P014,1,10450.0,8900,0,Cash
SL0000212,T000140,2026-06-05 09:32:00,P019,1,3050.0,2500,0,Cash
SL0000213,T000141,2026-06-05 10:29:00,P026,1,8650.0,7250,0,Cash
SL0000214,T000142,2026-06-05 13:22:00,P007,2,2750.0,2400,0,Cash
SL0000215,T000143,2026-06-05 12:23:00,P020,2,9600.0,7050,950,Cash
SL0000216,T000143,2026-06-05 12:23:00,P014,1,10450.0,8900,0,KBZPay
SL0000217,T000144,2026-06-05 11:43:00,P033,1,550.0,450,0,Cash
SL0000218,T000145,2026-06-05 10:35:00,P018,1,11000.0,7950,0,Cash
SL0000219,T000146,2026-06-05 12:26:00,P011,1,5600.0,4100,300,Cash
SL0000220,T000147,2026-06-05 12:32:00,P015,1,1050.0,750,50,Cash
SL0000221,T000148,2026-06-05 21:40:00,P024,1,5650.0,4800,0,Cash
SL0000222,T000149,2026-06-05 12:23:00,P021,2,10450.0,8200,0,Cash
SL0000223,T000150,2026-06-05 20:29:00,P012,1,9800.0,8800,0,KBZPay
SL0000224,T000150,2026-06-05 20:29:00,P003,2,7250.0,5200,0,Cash
SL0000225,T000151,2026-06-05 07:51:00,P012,1,9800.0,8800,0,Cash
SL0000226,T000152,2026-06-05 13:14:00,P015,1,1050.0,750,0,KBZPay
SL0000227,T000153,2026-06-05 20:49:00,P026,1,8650.0,7250,0,Cash
SL0000228,T000154,2026-06-05 14:13:00,P008,1,1450.0,1200,0,WavePay
SL0000229,T000155,2026-06-05 18:26:00,P039,3,9350.0,7550,0,KBZPay
SL0000230,T000155,2026-06-05 18:26:00,P003,1,7250.0,5200,0,Cash
SL0000231,T000156,2026-06-05 07:42:00,P039,1,9350.0,7550,0,Cash
SL0000232,T000157,2026-06-06 13:33:00,P030,1,9850.0,8500,500,Cash
SL0000233,T000158,2026-06-06 21:25:00,P015,1,1050.0,750,0,Cash
SL0000234,T000159,2026-06-06 11:06:00,P039,1,9350.0,7550,0,Cash
SL0000235,T000160,2026-06-06 14:47:00,P015,1,1050.0,750,0,Cash
SL0000236,T000161,2026-06-06 11:02:00,P037,3,4650.0,3300,0,Cash
SL0000237,T000161,2026-06-06 11:02:00,P038,1,4500.0,3300,0,KBZPay
SL0000238,T000161,2026-06-06 11:02:00,P006,1,6750.0,4750,0,Cash
SL0000239,T000162,2026-06-06 14:38:00,P008,3,1450.0,1200,0,KBZPay
SL0000240,T000162,2026-06-06 14:38:00,P003,1,7250.0,5200,0,KBZPay
SL0000241,T000163,2026-06-06 16:47:00,P039,1,9350.0,7550,0,Cash
SL0000242,T000164,2026-06-06 21:24:00,P009,2,9500.0,7150,0,Cash
SL0000243,T000164,2026-06-06 21:24:00,P039,2,9350.0,7550,0,Cash
SL0000244,T000165,2026-06-06 13:59:00,P030,2,9850.0,8500,0,KBZPay
SL0000245,T000166,2026-06-06 16:49:00,P013,2,8950.0,6450,0,Cash
SL0000246,T000167,2026-06-06 17:32:00,P028,1,950.0,750,0,Cash
SL0000247,T000168,2026-06-06 10:28:00,P031,2,6800.0,4750,0,Cash
SL0000248,T000168,2026-06-06 10:28:00,P009,2,9500.0,7150,0,Cash
SL0000249,T000169,2026-06-06 12:35:00,P001,2,9400.0,7950,0,Cash
SL0000250,T000170,2026-06-06 17:09:00,P031,1,6800.0,4750,0,Cash
SL0000251,T000171,2026-06-06 07:26:00,P016,1,10700.0,8500,0,WavePay
SL0000252,T000171,2026-06-06 07:26:00,P015,2,1050.0,750,100,Cash
SL0000253,T000172,2026-06-06 13:08:00,P034,1,6900.0,5900,0,Cash
SL0000254,T000172,2026-06-06 13:08:00,P012,1,9800.0,8800,0,KBZPay
SL0000255,T000173,2026-06-06 15:33:00,P014,2,10450.0,8900,0,Cash
SL0000256,T000174,2026-06-06 10:44:00,P038,2,4500.0,3300,0,Cash
SL0000257,T000175,2026-06-06 18:13:00,P026,1,8650.0,7250,0,Cash
SL0000258,T000176,2026-06-06 16:58:00,P004,1,2300.0,1700,0,KBZPay
SL0000259,T000177,2026-06-06 07:09:00,P003,1,7250.0,5200,0,WavePay
SL0000260,T000177,2026-06-06 07:09:00,P030,1,9850.0,8500,0,Cash
SL0000261,T000177,2026-06-06 07:09:00,P039,1,9350.0,7550,0,KBZPay
SL0000262,T000178,2026-06-06 15:47:00,P038,3,4500.0,3300,0,Cash
SL0000263,T000179,2026-06-06 08:05:00,P034,2,6900.0,5900,0,KBZPay
SL0000264,T000179,2026-06-06 08:05:00,P011,1,5600.0,4100,0,Cash
SL0000265,T000180,2026-06-06 11:00:00,P014,1,10450.0,8900,0,KBZPay
SL0000266,T000180,2026-06-06 11:00:00,P006,2,6750.0,4750,0,Cash
SL0000267,T000181,2026-06-06 15:18:00,P020,2,9600.0,7050,0,Cash
SL0000268,T000182,2026-06-06 16:52:00,P012,1,9800.0,8800,500,Cash
SL0000269,T000183,2026-06-06 14:31:00,P028,1,950.0,750,0,Cash
SL0000270,T000183,2026-06-06 14:31:00,P017,1,8050.0,6850,0,WavePay
SL0000271,T000184,2026-06-06 10:19:00,P026,1,8650.0,7250,450,KBZPay
SL0000272,T000185,2026-06-06 10:22:00,P010,1,7200.0,5600,0,Cash
SL0000273,T000185,2026-06-06 10:22:00,P020,1,9600.0,7050,0,Cash
SL0000274,T000186,2026-06-06 13:13:00,P035,1,10250.0,8150,0,Cash
SL0000275,T000187,2026-06-06 15:16:00,P024,3,5650.0,4800,0,WavePay
SL0000276,T000188,2026-06-06 17:36:00,P024,2,5650.0,4800,0,Cash
SL0000277,T000188,2026-06-06 17:36:00,P003,3,7250.0,5200,1100,Cash
SL0000278,T000189,2026-06-06 07:10:00,P020,1,9600.0,7050,0,WavePay
SL0000279,T000189,2026-06-06 07:10:00,P006,1,6750.0,4750,0,Cash
SL0000280,T000189,2026-06-06 07:10:00,P021,1,10450.0,8200,0,Cash
SL0000281,T000190,2026-06-06 17:51:00,P012,1,9800.0,8800,500,WavePay
SL0000282,T000191,2026-06-06 18:33:00,P005,1,8700.0,6300,0,Cash
SL0000283,T000192,2026-06-06 14:54:00,P003,2,7250.0,5200,0,Cash
SL0000284,T000192,2026-06-06 14:54:00,P026,3,8650.0,7250,0,Cash
SL0000285,T000192,2026-06-06 14:54:00,P028,1,950.0,750,0,KBZPay
SL0000286,T000193,2026-06-06 17:18:00,P024,1,5650.0,4800,0,Cash
SL0000287,T000193,2026-06-06 17:18:00,P038,1,4500.0,3300,0,Cash
SL0000288,T000194,2026-06-06 10:15:00,P027,1,600.0,500,0,Cash
SL0000289,T000195,2026-06-06 14:28:00,P020,1,9600.0,7050,0,WavePay
SL0000290,T000196,2026-06-07 15:30:00,P030,1,9850.0,8500,0,Cash
SL0000291,T000197,2026-06-07 21:03:00,P033,1,550.0,450,0,Cash
SL0000292,T000197,2026-06-07 21:03:00,P027,1,600.0,500,0,Cash
SL0000293,T000197,2026-06-07 21:03:00,P015,1,1050.0,750,0,Cash
SL0000294,T000198,2026-06-07 18:09:00,P014,1,10450.0,8900,0,Cash
SL0000295,T000199,2026-06-07 12:12:00,P025,2,2450.0,2150,0,Cash
SL0000296,T000199,2026-06-07 12:12:00,P034,2,6900.0,5900,700,Cash
SL0000297,T000200,2026-06-07 15:28:00,P007,2,2750.0,2400,0,Cash
SL0000298,T000201,2026-06-07 15:42:00,P027,4,600.0,500,0,Cash
SL0000299,T000201,2026-06-07 15:42:00,P020,1,9600.0,7050,0,Cash
SL0000300,T000202,2026-06-07 14:57:00,P008,1,1450.0,1200,0,Cash
SL0000301,T000202,2026-06-07 14:57:00,P026,1,8650.0,7250,0,Cash
SL0000302,T000202,2026-06-07 14:57:00,P014,1,10450.0,8900,0,Cash
SL0000303,T000203,2026-06-07 14:14:00,P015,1,1050.0,750,0,Cash
SL0000304,T000203,2026-06-07 14:14:00,P024,1,5650.0,4800,0,Cash
SL0000305,T000204,2026-06-07 07:04:00,P011,1,5600.0,4100,0,WavePay
SL0000306,T000205,2026-06-07 18:20:00,P031,4,6800.0,4750,0,Cash
SL0000307,T000206,2026-06-07 08:08:00,P014,1,10450.0,8900,0,Cash
SL0000308,T000207,2026-06-07 20:22:00,P004,2,2300.0,1700,0,KBZPay
SL0000309,T000207,2026-06-07 20:22:00,P020,1,9600.0,7050,0,Cash
SL0000310,T000208,2026-06-07 20:28:00,P026,1,8650.0,7250,0,Cash
SL0000311,T000209,2026-06-07 08:32:00,P037,1,4650.0,3300,0,Cash
SL0000312,T000209,2026-06-07 08:32:00,P024,1,5650.0,4800,0,Cash
SL0000313,T000210,2026-06-07 13:16:00,P036,1,6250.0,4350,0,WavePay
SL0000314,T000211,2026-06-07 12:48:00,P024,1,5650.0,4800,0,Cash
SL0000315,T000211,2026-06-07 12:48:00,P008,2,1450.0,1200,0,Cash
SL0000316,T000211,2026-06-07 12:48:00,P033,3,550.0,450,0,Cash
SL0000317,T000212,2026-06-07 21:57:00,P004,1,2300.0,1700,0,KBZPay
SL0000318,T000212,2026-06-07 21:57:00,P038,2,4500.0,3300,0,WavePay
SL0000319,T000212,2026-06-07 21:57:00,P024,1,5650.0,4800,0,Cash
SL0000320,T000213,2026-06-07 12:20:00,P003,1,7250.0,5200,0,Cash
SL0000321,T000213,2026-06-07 12:20:00,P020,2,9600.0,7050,0,Cash
SL0000322,T000214,2026-06-07 10:00:00,P009,4,9500.0,7150,0,KBZPay
SL0000323,T000215,2026-06-07 14:08:00,P009,1,9500.0,7150,0,KBZPay
SL0000324,T000216,2026-06-07 13:20:00,P012,1,9800.0,8800,500,KBZPay
SL0000325,T000217,2026-06-07 16:30:00,P039,1,9350.0,7550,450,Cash
SL0000326,T000218,2026-06-07 12:15:00,P033,2,550.0,450,0,Cash
SL0000327,T000218,2026-06-07 12:15:00,P031,1,6800.0,4750,0,Cash
SL0000328,T000219,2026-06-07 21:05:00,P026,2,8650.0,7250,0,Cash
SL0000329,T000219,2026-06-07 21:05:00,P025,1,2450.0,2150,0,Cash
