purchase_line_id,purchase_id,purchase_date,supplier_id,product_id,quantity,unit_purchase_price
PL000040,PO00014,2026-06-11,S02,P008,26,1200
PL000041,PO00014,2026-06-11,S02,P002,19,7800
PL000042,PO00014,2026-06-11,S02,P032,22,8700
PL000043,PO00015,2026-06-11,S03,P009,18,7400
PL000044,PO00015,2026-06-11,S03,P003,15,5150
PL000045,PO00015,2026-06-11,S03,P033,21,450
PL000046,PO00016,2026-06-11,S04,P010,33,5700
PL000047,PO00016,2026-06-11,S04,P004,44,1700
PL000048,PO00016,2026-06-11,S04,P034,22,6000
PL000049,PO00017,2026-06-11,S05,P005,25,6500
PL000050,PO00017,2026-06-11,S05,P011,14,4100
PL000051,PO00017,2026-06-11,S05,P035,44,8050
PL000052,PO00018,2026-06-11,S06,P006,28,4850
PL000053,PO00018,2026-06-11,S06,P012,14,8700
PL000054,PO00018,2026-06-11,S06,P036,13,4500
PL000055,PO00019,2026-06-16,S01,P025,45,2150
PL000056,PO00019,2026-06-16,S01,P031,13,4900
PL000057,PO00019,2026-06-16,S01,P001,43,8100
PL000058,PO00020,2026-06-16,S02,P026,31,7200
PL000059,PO00020,2026-06-16,S02,P032,34,8700
PL000060,PO00020,2026-06-16,S02,P002,33,7750
PL000061,PO00021,2026-06-16,S03,P027,28,500
PL000062,PO00021,2026-06-16,S03,P033,45,450
PL000063,PO00021,2026-06-16,S03,P003,15,5150
PL000064,PO00022,2026-06-16,S04,P028,43,750
PL000065,PO00022,2026-06-16,S04,P034,45,5900
PL000066,PO00022,2026-06-16,S04,P004,27,1650
PL000067,PO00023,2026-06-16,S05,P023,37,6450
PL000068,PO00023,2026-06-16,S05,P029,22,7600
PL000069,PO00023,2026-06-16,S05,P005,13,6500
PL000070,PO00024,2026-06-16,S06,P024,34,4650
PL000071,PO00024,2026-06-16,S06,P030,25,8700
PL000072,PO00024,2026-06-16,S06,P006,44,4650
PL000073,PO00025,2026-06-21,S01,P019,26,2550
PL000074,PO00025,2026-06-21,S01,P025,13,2200
PL000075,PO00025,2026-06-21,S01,P007,45,2400
PL000076,PO00026,2026-06-21,S02,P020,26,7100
PL000077,PO00026,2026-06-21,S02,P026,23,7500
PL000078,PO00026,2026-06-21,S02,P008,38,1250
PL000079,PO00027,2026-06-21,S03,P021,34,8300
PL000080,PO00027,2026-06-21,S03,P027,32,500
PL000081,PO00027,2026-06-21,S03,P009,37,7400
PL000082,PO00028,2026-06-21,S04,P022,23,7400
PL000083,PO00028,2026-06-21,S04,P028,16,750
PL000084,PO00028,2026-06-21,S04,P010,22,5650
PL000085,PO00029,2026-06-21,S05,P023,27,6250
PL000086,PO00029,2026-06-21,S05,P029,18,7300
PL000087,PO00029,2026-06-21,S05,P011,12,4250
PL000088,PO00030,2026-06-21,S06,P024,30,4950
PL000089,PO00030,2026-06-21,S06,P030,13,8600
PL000090,PO00030,2026-06-21,S06,P012,19,8550
PL000091,PO00031,2026-06-26,S01,P007,18,2500
PL000092,PO00031,2026-06-26,S01,P037,43,3450
PL000093,PO00031,2026-06-26,S01,P025,19,2200
PL000094,PO00032,2026-06-26,S02,P008,25,1250
PL000095,PO00032,2026-06-26,S02,P038,32,3450
PL000096,PO00032,2026-06-26,S02,P026,24,7150
PL000097,PO00033,2026-06-26,S03,P009,40,7200
PL000098,PO00033,2026-06-26,S03,P039,14,7350
PL000099,PO00033,2026-06-26,S03,P027,40,500
PL000100,PO00034,2026-06-26,S04,P010,37,5500
PL000101,PO00034,2026-06-26,S04,P040,44,5850
PL000102,PO00034,2026-06-26,S04,P028,36,750
PL000103,PO00035,2026-06-26,S05,P011,15,4000
PL000104,PO00035,2026-06-26,S05,P035,32,8200
PL000105,PO00035,2026-06-26,S05,P029,25,7300
PL000106,PO00036,2026-06-26,S06,P012,15,8900
PL000107,PO00036,2026-06-26,S06,P036,33,4400
PL000108,PO00036,2026-06-26,S06,P030,25,8450
PL000109,PO00037,2026-07-01,S01,P025,37,2150
PL000110,PO00037,2026-07-01,S01,P031,26,4750
PL000111,PO00037,2026-07-01,S01,P013,32,6400
PL000112,PO00038,2026-07-01,S02,P026,17,7100
PL000113,PO00038,2026-07-01,S02,P032,19,8250
PL000114,PO00038,2026-07-01,S02,P014,26,8900
PL000115,PO00039,2026-07-01,S03,P027,34,500
PL000116,PO00039,2026-07-01,S03,P033,15,450
PL000117,PO00039,2026-07-01,S03,P015,34,800
PL000118,PO00040,2026-07-01,S04,P028,28,750
PL000119,PO00040,2026-07-01,S04,P034,14,6150
PL000120,PO00040,2026-07-01,S04,P016,45,8350
PL000121,PO00041,2026-07-01,S05,P035,45,8100
PL000122,PO00041,2026-07-01,S05,P029,32,7650
PL000123,PO00041,2026-07-01,S05,P017,36,7050
PL000124,PO00042,2026-07-01,S06,P036,17,4400
PL000125,PO00042,2026-07-01,S06,P030,30,8350
PL000126,PO00042,2026-07-01,S06,P018,22,8050
PL000127,PO00043,2026-07-06,S01,P031,25,4900
PL000128,PO00043,2026-07-06,S01,P007,43,2500
PL000129,PO00043,2026-07-06,S01,P013,45,6650
PL000130,PO00044,2026-07-06,S02,P032,33,8250
PL000131,PO00044,2026-07-06,S02,P008,42,1200
PL000132,PO00044,2026-07-06,S02,P014,39,8700
PL000133,PO00045,2026-07-06,S03,P033,43,450
PL000134,PO00045,2026-07-06,S03,P009,32,7350
PL000135,PO00045,2026-07-06,S03,P015,14,750
PL000136,PO00046,2026-07-06,S04,P034,14,5800
PL000137,PO00046,2026-07-06,S04,P010,14,5850
PL000138,PO00046,2026-07-06,S04,P016,16,8800
PL000139,PO00047,2026-07-06,S05,P035,19,8100
PL000140,PO00047,2026-07-06,S05,P005,36,6250
PL000141,PO00047,2026-07-06,S05,P017,22,6850
PL000142,PO00048,2026-07-06,S06,P036,22,4400
PL000143,PO00048,2026-07-06,S06,P006,35,4750
PL000144,PO00048,2026-07-06,S06,P018,33,7750
PL000145,PO00049,2026-07-11,S01,P019,32,2450
PL000146,PO00049,2026-07-11,S01,P037,31,3200
PL000147,PO00049,2026-07-11,S01,P031,22,4950
PL000148,PO00050,2026-07-11,S02,P020,23,7150
PL000149,PO00050,2026-07-11,S02,P038,44,3200
PL000150,PO00050,2026-07-11,S02,P032,24,8800
PL000151,PO00051,2026-07-11,S03,P021,25,8500
PL000152,PO00051,2026-07-11,S03,P039,35,7650
PL000153,PO00051,2026-07-11,S03,P033,35,450
PL000154,PO00052,2026-07-11,S04,P022,25,7800
PL000155,PO00052,2026-07-11,S04,P040,14,5550
PL000156,PO00052,2026-07-11,S04,P034,36,5850
PL000157,PO00053,2026-07-11,S05,P035,24,8500
PL000158,PO00053,2026-07-11,S05,P029,32,7550
PL000159,PO00053,2026-07-11,S05,P023,40,6500
PL000160,PO00054,2026-07-11,S06,P036,34,4250
PL000161,PO00054,2026-07-11,S06,P030,31,8850
PL000162,PO00054,2026-07-11,S06,P024,28,4850
PL000163,PO00055,2026-07-16,S01,P037,29,3350
PL000164,PO00055,2026-07-16,S01,P019,43,2550
PL000165,PO00055,2026-07-16,S01,P025,42,2150
PL000166,PO00056,2026-07-16,S02,P038,45,3300
PL000167,PO00056,2026-07-16,S02,P020,35,7150
PL000168,PO00056,2026-07-16,S02,P026,35,7300
PL000169,PO00057,2026-07-16,S03,P039,32,7900
PL000170,PO00057,2026-07-16,S03,P021,33,8400
PL000171,PO00057,2026-07-16,S03,P027,34,500
PL000172,PO00058,2026-07-16,S04,P040,31,5550
PL000173,PO00058,2026-07-16,S04,P022,12,7600
PL000174,PO00058,2026-07-16,S04,P028,43,750
PL000175,PO00059,2026-07-16,S05,P035,22,8200
PL000176,PO00059,2026-07-16,S05,P023,37,6150
PL000177,PO00059,2026-07-16,S05,P029,30,7250
PL000178,PO00060,2026-07-16,S06,P036,44,4300
PL000179,PO00060,2026-07-16,S06,P024,27,4750
PL000180,PO00060,2026-07-16,S06,P030,36,8300
PL000181,PO00061,2026-07-21,S01,P031,45,4750
PL000182,PO00061,2026-07-21,S01,P007,19,2350
PL000183,PO00061,2026-07-21,S01,P001,13,7950
PL000184,PO00062,2026-07-21,S02,P032,15,8600
PL000185,PO00062,2026-07-21,S02,P008,44,1250
PL000186,PO00062,2026-07-21,S02,P002,35,7850
PL000187,PO00063,2026-07-21,S03,P033,15,450
PL000188,PO00063,2026-07-21,S03,P009,26,7350
PL000189,PO00063,2026-07-21,S03,P003,27,5150
PL000190,PO00064,2026-07-21,S04,P034,35,6050
PL000191,PO00064,2026-07-21,S04,P010,39,5550
PL000192,PO00064,2026-07-21,S04,P004,35,1750
PL000193,PO00065,2026-07-21,S05,P029,34,7750
PL000194,PO00065,2026-07-21,S05,P011,22,4050
PL000195,PO00065,2026-07-21,S05,P017,17,6850
PL000196,PO00066,2026-07-21,S06,P030,31,8600
PL000197,PO00066,2026-07-21,S06,P012,37,9150
PL000198,PO00066,2026-07-21,S06,P018,25,8050
PL000199,PO00067,2026-07-26,S01,P013,19,6400
PL000200,PO00067,2026-07-26,S01,P025,14,2200
PL000201,PO00067,2026-07-26,S01,P001,45,7950
PL000202,PO00068,2026-07-26,S02,P014,15,8850
PL000203,PO00068,2026-07-26,S02,P026,30,7350
PL000204,PO00068,2026-07-26,S02,P002,38,8150
PL000205,PO00069,2026-07-26,S03,P015,31,750
PL000206,PO00069,2026-07-26,S03,P027,28,500
PL000207,PO00069,2026-07-26,S03,P003,19,5100
PL000208,PO00070,2026-07-26,S04,P016,23,8400
PL000209,PO00070,2026-07-26,S04,P028,40,800
PL000210,PO00070,2026-07-26,S04,P004,18,1750
PL000211,PO00071,2026-07-26,S05,P005,38,6100
PL000212,PO00071,2026-07-26,S05,P017,34,6950
PL000213,PO00071,2026-07-26,S05,P029,31,7700
PL000214,PO00072,2026-07-26,S06,P006,41,4950
PL000215,PO00072,2026-07-26,S06,P018,14,7750
PL000216,PO00072,2026-07-26,S06,P030,18,8400
PL000217,PO00073,2026-07-31,S01,P031,15,4850
PL000218,PO00073,2026-07-31,S01,P025,13,2150
PL000219,PO00073,2026-07-31,S01,P007,39,2350
PL000220,PO00074,2026-07-31,S02,P032,14,8550
PL000221,PO00074,2026-07-31,S02,P026,30,7600
PL000222,PO00074,2026-07-31,S02,P008,42,1200
PL000223,PO00075,2026-07-31,S03,P033,20,450
PL000224,PO00075,2026-07-31,S03,P027,37,500
PL000225,PO00075,2026-07-31,S03,P009,25,7400
PL000226,PO00076,2026-07-31,S04,P034,16,5750
PL000227,PO00076,2026-07-31,S04,P028,39,750
PL000228,PO00076,2026-07-31,S04,P010,38,5500
PL000229,PO00077,2026-07-31,S05,P011,33,4200
PL000230,PO00077,2026-07-31,S05,P005,13,6600
PL000231,PO00077,2026-07-31,S05,P029,38,7200
PL000232,PO00078,2026-07-31,S06,P012,19,8750
PL000233,PO00078,2026-07-31,S06,P006,21,4650
PL000234,PO00078,2026-07-31,S06,P030,22,8300
PL000235,PO00079,2026-08-05,S01,P013,30,6350
PL000236,PO00079,2026-08-05,S01,P019,20,2500
PL000237,PO00079,2026-08-05,S01,P031,34,4850
PL000238,PO00080,2026-08-05,S02,P014,39,9050
PL000239,PO00080,2026-08-05,S02,P020,17,6850
PL000240,PO00080,2026-08-05,S02,P032,40,8250
PL000241,PO00081,2026-08-05,S03,P015,38,800
PL000242,PO00081,2026-08-05,S03,P021,35,8250
PL000243,PO00081,2026-08-05,S03,P033,34,450
PL000244,PO00082,2026-08-05,S04,P016,33,8350
PL000245,PO00082,2026-08-05,S04,P022,23,7500
PL000246,PO00082,2026-08-05,S04,P034,29,5850
PL000247,PO00083,2026-08-05,S05,P017,29,6900
PL000248,PO00083,2026-08-05,S05,P023,18,6250
PL000249,PO00083,2026-08-05,S05,P035,36,8250
PL000250,PO00084,2026-08-05,S06,P018,29,8100
PL000251,PO00084,2026-08-05,S06,P024,36,5000
PL000252,PO00084,2026-08-05,S06,P036,15,4450
PL000253,PO00085,2026-08-10,S01,P025,16,2200
PL000254,PO00085,2026-08-10,S01,P019,19,2600
PL000255,PO00085,2026-08-10,S01,P013,29,6650
PL000256,PO00086,2026-08-10,S02,P026,35,7400
PL000257,PO00086,2026-08-10,S02,P020,21,6850
PL000258,PO00086,2026-08-10,S02,P014,26,8750
PL000259,PO00087,2026-08-10,S03,P027,14,500
PL000260,PO00087,2026-08-10,S03,P021,18,8600
PL000261,PO00087,2026-08-10,S03,P015,35,750
PL000262,PO00088,2026-08-10,S04,P028,15,750
PL000263,PO00088,2026-08-10,S04,P022,20,7450
PL000264,PO00088,2026-08-10,S04,P016,26,8500
PL000265,PO00089,2026-08-10,S05,P029,21,7350
PL000266,PO00089,2026-08-10,S05,P023,17,6100
PL000267,PO00089,2026-08-10,S05,P017,14,7100
PL000268,PO00090,2026-08-10,S06,P030,22,8500
PL000269,PO00090,2026-08-10,S06,P024,29,4850
PL000270,PO00090,2026-08-10,S06,P018,31,8300
PL000271,PO00091,2026-08-15,S01,P001,15,8100
PL000272,PO00091,2026-08-15,S01,P007,18,2500
PL000273,PO00091,2026-08-15,S01,P019,45,2550
PL000274,PO00092,2026-08-15,S02,P002,34,8250
PL000275,PO00092,2026-08-15,S02,P008,26,1200
PL000276,PO00092,2026-08-15,S02,P020,44,7350
PL000277,PO00093,2026-08-15,S03,P003,13,5150
PL000278,PO00093,2026-08-15,S03,P009,41,7100
PL000279,PO00093,2026-08-15,S03,P021,18,8600
PL000280,PO00094,2026-08-15,S04,P004,43,1650
PL000281,PO00094,2026-08-15,S04,P010,35,5650
PL000282,PO00094,2026-08-15,S04,P022,21,7300
PL000283,PO00095,2026-08-15,S05,P005,18,6450
PL000284,PO00095,2026-08-15,S05,P011,41,4100
PL000285,PO00095,2026-08-15,S05,P023,42,6500
PL000286,PO00096,2026-08-15,S06,P006,32,4700
PL000287,PO00096,2026-08-15,S06,P012,23,8550
PL000288,PO00096,2026-08-15,S06,P024,39,4900
PL000289,PO00097,2026-08-20,S01,P025,42,2150
PL000290,PO00097,2026-08-20,S01,P031,30,4950
PL000291,PO00097,2026-08-20,S01,P001,27,8000
PL000292,PO00098,2026-08-20,S02,P026,41,7400
PL000293,PO00098,2026-08-20,S02,P032,34,8700
PL000294,PO00098,2026-08-20,S02,P002,19,8250
PL000295,PO00099,2026-08-20,S03,P027,32,500
PL000296,PO00099,2026-08-20,S03,P033,18,450
PL000297,PO00099,2026-08-20,S03,P003,36,5050
PL000298,PO00100,2026-08-20,S04,P028,17,750
PL000299,PO00100,2026-08-20,S04,P034,14,6150
PL000300,PO00100,2026-08-20,S04,P004,30,1750
PL000301,PO00101,2026-08-20,S05,P005,36,6450
PL000302,PO00101,2026-08-20,S05,P023,34,6400
PL000303,PO00101,2026-08-20,S05,P035,30,8500
PL000304,PO00102,2026-08-20,S06,P006,15,4700
PL000305,PO00102,2026-08-20,S06,P024,37,4900
PL000306,PO00102,2026-08-20,S06,P036,39,4500
PL000307,PO00103,2026-08-25,S01,P019,25,2500
PL000308,PO00103,2026-08-25,S01,P031,14,4800
PL000309,PO00103,2026-08-25,S01,P013,18,6650
PL000310,PO00104,2026-08-25,S02,P020,26,7100
PL000311,PO00104,2026-08-25,S02,P032,16,8550
PL000312,PO00104,2026-08-25,S02,P014,17,8750
PL000313,PO00105,2026-08-25,S03,P021,21,8350
PL000314,PO00105,2026-08-25,S03,P033,40,450
PL000315,PO00105,2026-08-25,S03,P015,23,750
PL000316,PO00106,2026-08-25,S04,P022,17,7450
PL000317,PO00106,2026-08-25,S04,P034,31,5900
PL000318,PO00106,2026-08-25,S04,P016,42,8400
PL000319,PO00107,2026-08-25,S05,P023,28,6250
PL000320,PO00107,2026-08-25,S05,P035,18,8350
PL000321,PO00107,2026-08-25,S05,P017,27,7150
PL000322,PO00108,2026-08-25,S06,P024,25,4800
PL000323,PO00108,2026-08-25,S06,P036,32,4450
PL000324,PO00108,2026-08-25,S06,P018,36,8100
